year,PR,PRA,PRAB,PRAPPLIED,PRB,PRC,PRD,PRE,PRFLUIDS,PRI,PRL,PRMATERIALS,PRPER,PRRESEARCH,PRSTAB,PRSTPER,PRX,PRXQUANTUM,RMP
1893,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
1894,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
1895,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
1896,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0
1897,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0
1898,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0
1899,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0
1900,0,0,0,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0
1901,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0
1902,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0
1903,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0
1904,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0
1905,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0
1906,0,0,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,0
1907,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0
1908,0,0,0,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0
1909,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0
1910,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0
1911,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0
1912,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0
1913,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1914,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1915,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1916,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1917,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1918,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1919,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1920,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1921,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1922,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1923,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1924,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1925,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1926,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1927,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1928,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1929,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1930,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1931,591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
1932,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1933,482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1934,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1935,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1936,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1937,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1938,497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
1939,609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
