Country,Value,Group,Key
Afghanistan,1,ALL,0
Angola,1,ALL,0
Albania,4,ALL,0
United Arab Emirates,156,ALL,0
Argentina,5711,ALL,0
Armenia,677,ALL,0
Antarctica,0,ALL,0
French Southern and Antarctic Lands,0,ALL,0
Australia,11409,ALL,0
Austria,7424,ALL,0
Azerbaijan,117,ALL,0
Burundi,4,ALL,0
Belgium,8451,ALL,0
Benin,27,ALL,0
Burkina Faso,4,ALL,0
Bangladesh,111,ALL,0
Bulgaria,1190,ALL,0
The Bahamas,6,ALL,0
Bosnia and Herzegovina,100,ALL,0
Belarus,642,ALL,0
Belize,0,ALL,0
Bolivia,17,ALL,0
Brazil,14247,ALL,0
Brunei,1,ALL,0
Bhutan,0,ALL,0
Botswana,9,ALL,0
Central African Republic,0,ALL,0
Canada,27294,ALL,0
Switzerland,18947,ALL,0
Chile,2574,ALL,0
China,44489,ALL,0
Ivory Coast,1,ALL,0
Cameroon,126,ALL,0
Democratic Republic of the Congo,0,ALL,0
Republic of the Congo,0,ALL,0
Colombia,759,ALL,0
Costa Rica,59,ALL,0
Cuba,261,ALL,0
Northern Cyprus,8,ALL,0
Cyprus,286,ALL,0
Czech Republic,3896,ALL,0
Germany,88006,ALL,0
Djibouti,1,ALL,0
Denmark,8090,ALL,0
Dominican Republic,4,ALL,0
Algeria,360,ALL,0
Ecuador,167,ALL,0
Egypt,539,ALL,0
Eritrea,2,ALL,0
Spain,22961,ALL,0
Estonia,454,ALL,0
Ethiopia,38,ALL,0
Finland,5522,ALL,0
Fiji,0,ALL,0
Falkland Islands,0,ALL,0
France,53160,ALL,0
Gabon,7,ALL,0
England,4994,ALL,0
Georgia,4109,ALL,0
Ghana,10,ALL,0
Guinea,2,ALL,0
Gambia,0,ALL,0
Guinea Bissau,0,ALL,0
Equatorial Guinea,0,ALL,0
Greece,3681,ALL,0
Greenland,0,ALL,0
Guatemala,6,ALL,0
Guyana,1,ALL,0
Honduras,3,ALL,0
Croatia,1292,ALL,0
Haiti,0,ALL,0
Hungary,4150,ALL,0
Indonesia,205,ALL,0
India,29387,ALL,0
Ireland,2272,ALL,0
Iran,2815,ALL,0
Iraq,45,ALL,0
Iceland,323,ALL,0
Israel,15054,ALL,0
Italy,32767,ALL,0
Jamaica,58,ALL,0
Jordan,134,ALL,0
Japan,50824,ALL,0
Kazakhstan,232,ALL,0
Kenya,11,ALL,0
Kyrgyzstan,16,ALL,0
Cambodia,3,ALL,0
South Korea,644,ALL,0
Kosovo,0,ALL,0
Kuwait,83,ALL,0
Laos,0,ALL,0
Lebanon,151,ALL,0
Liberia,0,ALL,0
Libya,17,ALL,0
Sri Lanka,53,ALL,0
Lesotho,1,ALL,0
Lithuania,445,ALL,0
Luxembourg,293,ALL,0
Latvia,304,ALL,0
Morocco,253,ALL,0
Moldova,236,ALL,0
Madagascar,3,ALL,0
Mexico,17805,ALL,0
Macedonia,116,ALL,0
Mali,294,ALL,0
Myanmar,9,ALL,0
Montenegro,82,ALL,0
Mongolia,97,ALL,0
Mozambique,0,ALL,0
Mauritania,0,ALL,0
Malawi,0,ALL,0
Malaysia,212,ALL,0
Namibia,0,ALL,0
New Caledonia,1,ALL,0
Niger,79,ALL,0
Nigeria,62,ALL,0
Nicaragua,0,ALL,0
Netherlands,13885,ALL,0
Norway,2919,ALL,0
Nepal,17,ALL,0
New Zealand,1669,ALL,0
Oman,2628,ALL,0
Pakistan,569,ALL,0
Panama,16,ALL,0
Peru,694,ALL,0
Philippines,88,ALL,0
Papua New Guinea,1,ALL,0
Poland,11804,ALL,0
Puerto Rico,312,ALL,0
North Korea,0,ALL,0
Portugal,3812,ALL,0
Paraguay,2,ALL,0
Qatar,204,ALL,0
Romania,1889,ALL,0
Russia,23446,ALL,0
Rwanda,1,ALL,0
Western Sahara,0,ALL,0
Saudi Arabia,747,ALL,0
Sudan,23,ALL,0
South Sudan,0,ALL,0
Senegal,7,ALL,0
Solomon Islands,0,ALL,0
Sierra Leone,0,ALL,0
El Salvador,0,ALL,0
Somaliland,0,ALL,0
Somalia,0,ALL,0
Republic of Serbia,5,ALL,0
Suriname,0,ALL,0
Slovakia,1209,ALL,0
Slovenia,1853,ALL,0
Sweden,11813,ALL,0
Swaziland,5,ALL,0
Syria,17,ALL,0
Chad,32,ALL,0
Togo,11,ALL,0
Thailand,368,ALL,0
Tajikistan,8,ALL,0
Turkmenistan,0,ALL,0
East Timor,0,ALL,0
Trinidad and Tobago,1,ALL,0
Tunisia,157,ALL,0
Turkey,2243,ALL,0
Taiwan,6315,ALL,0
United Republic of Tanzania,0,ALL,0
Uganda,0,ALL,0
Ukraine,4106,ALL,0
Uruguay,246,ALL,0
USA,116302,ALL,0
Uzbekistan,353,ALL,0
Venezuela,585,ALL,0
Vietnam,479,ALL,0
Vanuatu,0,ALL,0
West Bank,36,ALL,0
Yemen,11,ALL,0
South Africa,2008,ALL,0
Zambia,5,ALL,0
Zimbabwe,3,ALL,0
